Freq.	I(R6)/I(R3)
1.76197604641161e+000	(1.17818021816328e+001dB,8.69729374735730e+001°)
1.76603782068614e+000	(1.18017462900460e+001dB,8.69659723930261e+001°)
1.77010895831740e+000	(1.18216901411862e+001dB,8.69589913463525e+001°)
1.77418948089014e+000	(1.18416337339026e+001dB,8.69519942973683e+001°)
1.77827941003890e+000	(1.18615770669771e+001dB,8.69449812098103e+001°)
1.78237876744807e+000	(1.18815201392448e+001dB,8.69379520473365e+001°)
1.78648757485203e+000	(1.19014629494914e+001dB,8.69309067735248e+001°)
1.79060585403527e+000	(1.19214054965149e+001dB,8.69238453518739e+001°)
1.79473362683250e+000	(1.19413477791337e+001dB,8.69167677458029e+001°)
1.79887091512876e+000	(1.19612897961046e+001dB,8.69096739186506e+001°)
1.80301774085955e+000	(1.19812315462148e+001dB,8.69025638336759e+001°)
1.80717412601090e+000	(1.20011730282345e+001dB,8.68954374540578e+001°)
1.81134009261958e+000	(1.20211142409477e+001dB,8.68882947428944e+001°)
1.81551566277311e+000	(1.20410551831202e+001dB,8.68811356632038e+001°)
1.81970085860996e+000	(1.20609958534863e+001dB,8.68739601779231e+001°)
1.82389570231961e+000	(1.20809362508421e+001dB,8.68667682499088e+001°)
1.82810021614272e+000	(1.21008763738793e+001dB,8.68595598419360e+001°)
1.83231442237119e+000	(1.21208162213793e+001dB,8.68523349166993e+001°)
1.83653834334832e+000	(1.21407557920666e+001dB,8.68450934368116e+001°)
1.84077200146893e+000	(1.21606950846705e+001dB,8.68378353648044e+001°)
1.84501541917945e+000	(1.21806340979343e+001dB,8.68305606631279e+001°)
1.84926861897805e+000	(1.22005728305274e+001dB,8.68232692941499e+001°)
1.85353162341479e+000	(1.22205112812238e+001dB,8.68159612201570e+001°)
1.85780445509167e+000	(1.22404494486729e+001dB,8.68086364033533e+001°)
1.86208713666284e+000	(1.22603873316159e+001dB,8.68012948058609e+001°)
1.86637969083464e+000	(1.22803249287271e+001dB,8.67939363897195e+001°)
1.87068214036577e+000	(1.23002622387139e+001dB,8.67865611168862e+001°)
1.87499450806739e+000	(1.23201992602442e+001dB,8.67791689492352e+001°)
1.87931681680324e+000	(1.23401359919870e+001dB,8.67717598485582e+001°)
1.88364908948977e+000	(1.23600724326371e+001dB,8.67643337765640e+001°)
1.88799134909627e+000	(1.23800085808523e+001dB,8.67568906948779e+001°)
1.89234361864495e+000	(1.23999444352748e+001dB,8.67494305650420e+001°)
1.89670592121112e+000	(1.24198799945627e+001dB,8.67419533485149e+001°)
1.90107827992327e+000	(1.24398152573779e+001dB,8.67344590066717e+001°)
1.90546071796322e+000	(1.24597502223511e+001dB,8.67269475008035e+001°)
1.90985325856621e+000	(1.24796848881292e+001dB,8.67194187921180e+001°)
1.91425592502106e+000	(1.24996192533082e+001dB,8.67118728417380e+001°)
1.91866874067026e+000	(1.25195533165360e+001dB,8.67043096107026e+001°)
1.92309172891013e+000	(1.25394870764266e+001dB,8.66967290599664e+001°)
1.92752491319091e+000	(1.25594205315792e+001dB,8.66891311503992e+001°)
1.93196831701690e+000	(1.25793536806072e+001dB,8.66815158427865e+001°)
1.93642196394658e+000	(1.25992865220990e+001dB,8.66738830978284e+001°)
1.94088587759275e+000	(1.26192190546350e+001dB,8.66662328761405e+001°)
1.94536008162263e+000	(1.26391512768168e+001dB,8.66585651382526e+001°)
1.94984459975802e+000	(1.26590831872165e+001dB,8.66508798446097e+001°)
1.95433945577537e+000	(1.26790147844142e+001dB,8.66431769555708e+001°)
1.95884467350596e+000	(1.26989460669540e+001dB,8.66354564314098e+001°)
1.96336027683602e+000	(1.27188770334114e+001dB,8.66277182323141e+001°)
1.96788628970682e+000	(1.27388076823235e+001dB,8.66199623183857e+001°)
1.97242273611482e+000	(1.27587380122361e+001dB,8.66121886496400e+001°)
1.97696964011183e+000	(1.27786680216906e+001dB,8.66043971860063e+001°)
1.98152702580507e+000	(1.27985977092269e+001dB,8.65965878873275e+001°)
1.98609491735734e+000	(1.28185270733569e+001dB,8.65887607133598e+001°)
1.99067333898716e+000	(1.28384561126062e+001dB,8.65809156237724e+001°)
1.99526231496885e+000	(1.28583848254854e+001dB,8.65730525781479e+001°)
1.99986186963271e+000	(1.28783132104908e+001dB,8.65651715359816e+001°)
2.00447202736513e+000	(1.28982412661225e+001dB,8.65572724566816e+001°)
2.00909281260870e+000	(1.29181689908830e+001dB,8.65493552995686e+001°)
2.01372424986236e+000	(1.29380963832397e+001dB,8.65414200238754e+001°)
2.01836636368153e+000	(1.29580234416913e+001dB,8.65334665887476e+001°)
2.02301917867824e+000	(1.29779501646844e+001dB,8.65254949532424e+001°)
2.02768271952125e+000	(1.29978765506783e+001dB,8.65175050763296e+001°)
2.03235701093619e+000	(1.30178025981591e+001dB,8.65094969168898e+001°)
2.03704207770569e+000	(1.30377283055642e+001dB,8.65014704337161e+001°)
2.04173794466950e+000	(1.30576536712997e+001dB,8.64934255855126e+001°)
2.04644463672464e+000	(1.30775786938493e+001dB,8.64853623308947e+001°)
2.05116217882553e+000	(1.30975033716327e+001dB,8.64772806283892e+001°)
2.05589059598411e+000	(1.31174277030516e+001dB,8.64691804364337e+001°)
2.06062991326997e+000	(1.31373516865276e+001dB,8.64610617133767e+001°)
2.06538015581050e+000	(1.31572753204615e+001dB,8.64529244174771e+001°)
2.07014134879101e+000	(1.31771986032578e+001dB,8.64447685069047e+001°)
2.07491351745488e+000	(1.31971215333072e+001dB,8.64365939397393e+001°)
2.07969668710366e+000	(1.32170441090116e+001dB,8.64284006739711e+001°)
2.08449088309726e+000	(1.32369663287211e+001dB,8.64201886675001e+001°)
2.08929613085401e+000	(1.32568881908058e+001dB,8.64119578781365e+001°)
2.09411245585086e+000	(1.32768096936421e+001dB,8.64037082635997e+001°)
2.09893988362349e+000	(1.32967308355943e+001dB,8.63954397815192e+001°)
2.10377843976644e+000	(1.33166516149895e+001dB,8.63871523894332e+001°)
2.10862814993326e+000	(1.33365720301520e+001dB,8.63788460447899e+001°)
2.11348903983661e+000	(1.33564920794669e+001dB,8.63705207049460e+001°)
2.11836113524847e+000	(1.33764117612175e+001dB,8.63621763271671e+001°)
2.12324446200018e+000	(1.33963310737311e+001dB,8.63538128686278e+001°)
2.12813904598268e+000	(1.34162500153221e+001dB,8.63454302864111e+001°)
2.13304491314654e+000	(1.34361685842945e+001dB,8.63370285375084e+001°)
2.13796208950220e+000	(1.34560867789107e+001dB,8.63286075788194e+001°)
2.14289060112002e+000	(1.34760045974994e+001dB,8.63201673671518e+001°)
2.14783047413050e+000	(1.34959220383194e+001dB,8.63117078592214e+001°)
2.15278173472434e+000	(1.35158390996350e+001dB,8.63032290116517e+001°)
2.15774440915263e+000	(1.35357557797297e+001dB,8.62947307809737e+001°)
2.16271852372698e+000	(1.35556720768438e+001dB,8.62862131236259e+001°)
2.16770410481966e+000	(1.35755879892135e+001dB,8.62776759959540e+001°)
2.17270117886371e+000	(1.35955035151006e+001dB,8.62691193542110e+001°)
2.17770977235312e+000	(1.36154186527370e+001dB,8.62605431545567e+001°)
2.18272991184296e+000	(1.36353334003426e+001dB,8.62519473530578e+001°)
2.18776162394952e+000	(1.36552477561128e+001dB,8.62433319056875e+001°)
2.19280493535041e+000	(1.36751617182701e+001dB,8.62346967683257e+001°)
2.19785987278479e+000	(1.36950752850036e+001dB,8.62260418967583e+001°)
2.20292646305342e+000	(1.37149884545150e+001dB,8.62173672466777e+001°)
2.20800473301886e+000	(1.37349012249984e+001dB,8.62086727736820e+001°)
2.21309470960560e+000	(1.37548135945844e+001dB,8.61999584332752e+001°)
2.21819641980018e+000	(1.37747255614872e+001dB,8.61912241808671e+001°)
2.22330989065136e+000	(1.37946371238392e+001dB,8.61824699717729e+001°)
2.22843514927026e+000	(1.38145482797951e+001dB,8.61736957612131e+001°)
2.23357222283049e+000	(1.38344590275002e+001dB,8.61649015043135e+001°)
2.23872113856830e+000	(1.38543693650771e+001dB,8.61560871561048e+001°)
2.24388192378273e+000	(1.38742792906532e+001dB,8.61472526715228e+001°)
2.24905460583574e+000	(1.38941888023490e+001dB,8.61383980054076e+001°)
2.25423921215239e+000	(1.39140978982695e+001dB,8.61295231125042e+001°)
2.25943577022094e+000	(1.39340065765049e+001dB,8.61206279474618e+001°)
2.26464430759302e+000	(1.39539148351473e+001dB,8.61117124648337e+001°)
2.26986485188378e+000	(1.39738226722904e+001dB,8.61027766190777e+001°)
2.27509743077203e+000	(1.39937300860195e+001dB,8.60938203645549e+001°)
2.28034207200038e+000	(1.40136370743574e+001dB,8.60848436555308e+001°)
2.28559880337539e+000	(1.40335436353729e+001dB,8.60758464461738e+001°)
2.29086765276773e+000	(1.40534497671290e+001dB,8.60668286905561e+001°)
2.29614864811232e+000	(1.40733554676370e+001dB,8.60577903426532e+001°)
2.30144181740847e+000	(1.40932607349543e+001dB,8.60487313563433e+001°)
2.30674718872003e+000	(1.41131655670812e+001dB,8.60396516854081e+001°)
2.31206479017555e+000	(1.41330699620325e+001dB,8.60305512835315e+001°)
2.31739464996844e+000	(1.41529739178011e+001dB,8.60214301043003e+001°)
